GEOID,County_x,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,county_clean,County_y,highway_count
6001,"Alameda County, California",38.7,126240,1057400,16.3,0.8,6.1,0.2,76.7,28.2,9.6,2.1,51.5,88.9,5.2,9.2,Alameda County,Alameda County,2.0
6003,"Alpine County, California",41.1,110781,466100,8.8,0.0,5.9,0.0,85.3,58.6,0.0,28.1,42.1,96.3,3.6,12.3,Alpine County,,0.0
6005,"Amador County, California",49.9,81526,422800,10.3,0.3,4.6,0.3,84.5,73.7,1.9,5.0,22.4,91.0,6.1,7.8,Amador County,Amador County,1.0
6007,"Butte County, California",36.3,68574,408700,16.5,0.5,2.4,0.1,80.5,66.6,1.7,4.3,31.7,90.3,7.1,18.3,Butte County,,0.0
6009,"Calaveras County, California",52.0,79877,441800,10.0,0.6,3.2,0.1,86.1,77.4,1.2,3.8,22.2,93.3,5.9,13.4,Calaveras County,,0.0
6011,"Colusa County, California",35.7,75149,375100,59.7,0.0,2.6,0.0,37.7,31.4,1.4,3.2,14.5,73.2,8.4,10.8,Colusa County,Colusa County,4.0
6013,"Contra Costa County, California",40.3,125727,830800,18.0,0.8,8.3,0.2,72.7,39.3,8.2,2.6,44.9,89.6,5.9,8.3,Contra Costa County,,0.0
6015,"Del Norte County, California",40.8,66780,319600,14.9,0.5,4.3,0.0,80.4,61.1,2.9,10.3,21.0,85.5,6.4,11.6,Del Norte County,,0.0
6017,"El Dorado County, California",46.1,106190,640500,10.4,0.4,3.2,0.1,85.8,74.1,0.8,2.5,38.8,94.9,4.8,8.3,El Dorado County,,0.0
6019,"Fresno County, California",33.2,71434,362600,49.8,0.4,3.8,0.1,45.9,27.0,4.2,3.1,23.9,78.6,8.5,18.7,Fresno County,Fresno County,1.0
6021,"Glenn County, California",35.9,70487,338400,42.1,0.0,1.9,0.1,55.9,48.6,0.6,3.8,16.5,80.3,7.4,12.4,Glenn County,,0.0
6023,"Humboldt County, California",39.6,61135,418800,10.8,0.5,2.3,0.3,86.2,70.2,1.1,8.6,32.1,91.5,8.7,18.9,Humboldt County,,0.0
6025,"Imperial County, California",33.0,56393,279500,82.7,0.3,2.5,0.1,14.4,9.4,2.2,2.7,16.1,71.8,12.6,19.6,Imperial County,Imperial County,1.0
6027,"Inyo County, California",45.6,72432,338400,18.6,0.8,4.0,0.4,76.2,59.0,0.6,15.1,31.8,92.8,2.7,10.5,Inyo County,,0.0
6029,"Kern County, California",32.4,67660,310600,50.1,0.6,4.9,0.1,44.3,30.7,4.8,2.9,18.6,77.1,8.4,19.0,Kern County,Kern County,2.0
6031,"Kings County, California",32.3,68750,305700,53.3,0.8,3.3,0.1,42.5,28.8,6.0,3.1,13.9,74.2,9.8,16.8,Kings County,,0.0
6033,"Lake County, California",44.2,58738,316800,20.0,0.3,3.2,0.3,76.2,65.3,1.9,6.6,17.7,87.1,11.5,16.7,Lake County,Lake County,1.0
6035,"Lassen County, California",37.8,64395,259500,18.2,0.3,4.0,0.0,77.5,61.4,7.5,5.1,13.2,79.1,7.6,13.7,Lassen County,Lassen County,1.0
6037,"Los Angeles County, California",37.9,87760,783300,35.5,0.5,11.9,0.4,51.7,25.2,7.5,2.7,35.5,80.7,7.0,13.6,Los Angeles County,,0.0
6039,"Madera County, California",34.6,75496,367700,57.2,0.3,2.8,0.0,39.6,30.9,2.4,5.0,17.1,73.0,10.6,19.9,Madera County,Madera County,4.0
6041,"Marin County, California",47.3,142785,1390000,8.2,0.5,10.1,0.1,81.0,66.6,2.1,1.9,60.5,92.7,6.1,7.8,Marin County,,0.0
6043,"Mariposa County, California",51.6,65378,358000,11.3,0.4,1.9,0.1,86.3,76.4,1.3,6.2,30.9,90.5,6.9,13.9,Mariposa County,Mariposa County,1.0
6045,"Mendocino County, California",43.9,64688,486000,24.1,0.4,2.5,0.0,73.1,62.1,0.8,6.8,24.9,86.2,9.3,15.2,Mendocino County,Mendocino County,1.0
6047,"Merced County, California",31.8,65044,368400,59.8,0.2,2.6,0.0,37.3,24.3,2.7,3.0,14.8,71.9,10.8,18.4,Merced County,Merced County,2.0
6049,"Modoc County, California",49.0,56648,212000,12.2,0.0,3.1,0.0,84.7,75.2,0.8,6.3,23.0,87.9,6.0,20.3,Modoc County,Modoc County,2.0
6051,"Mono County, California",40.3,86953,514300,25.0,0.0,1.3,0.4,73.3,65.5,0.1,6.8,34.3,89.6,2.0,11.0,Mono County,Mono County,3.0
6053,"Monterey County, California",35.3,94486,723100,55.8,0.6,4.4,0.2,39.0,27.6,2.0,2.5,27.9,73.3,5.1,12.6,Monterey County,,0.0
6055,"Napa County, California",42.8,108970,838800,30.4,0.4,4.9,0.1,64.1,49.4,1.8,2.5,38.5,84.7,5.1,8.4,Napa County,Napa County,1.0
6057,"Nevada County, California",50.3,84905,602800,6.9,0.5,2.9,0.1,89.5,81.7,0.3,2.6,39.5,95.1,4.7,10.6,Nevada County,,0.0
6059,"Orange County, California",39.1,113702,915500,28.5,0.4,5.0,0.3,65.9,37.7,1.5,2.0,43.4,86.9,5.3,9.5,Orange County,Orange County,2.0
6061,"Placer County, California",42.4,114678,658800,10.5,0.8,3.8,0.2,84.6,67.3,1.6,2.4,42.9,94.9,4.5,6.7,Placer County,Placer County,1.0
6063,"Plumas County, California",52.1,64946,327400,6.6,0.7,2.7,0.0,90.0,81.8,0.7,4.9,20.5,94.0,9.7,10.7,Plumas County,Plumas County,1.0
6065,"Riverside County, California",36.7,89672,510300,43.8,0.7,5.8,0.3,49.4,32.0,6.1,3.1,25.1,83.3,6.6,11.1,Riverside County,Riverside County,4.0
6067,"Sacramento County, California",37.2,88724,498900,19.3,0.7,3.8,0.2,76.0,41.5,9.1,3.1,33.3,88.4,6.4,12.6,Sacramento County,,0.0
6069,"San Benito County, California",35.9,108289,751500,55.1,1.2,5.3,0.1,38.3,30.3,0.9,4.5,22.4,83.2,6.0,7.8,San Benito County,,0.0
6071,"San Bernardino County, California",34.4,82184,475000,46.2,0.7,7.3,0.3,45.4,25.6,7.6,3.0,22.9,82.1,7.1,13.6,San Bernardino County,,0.0
6073,"San Diego County, California",37.1,102285,791600,29.6,0.8,3.6,0.2,65.7,43.2,4.4,2.5,42.1,89.0,6.2,10.4,San Diego County,,0.0
6075,"San Francisco County, California",39.7,141446,1380500,7.8,0.7,7.2,0.2,84.1,37.5,4.8,1.8,60.1,88.8,5.6,10.6,San Francisco County,,0.0
6077,"San Joaquin County, California",35.2,88531,494500,37.0,0.7,4.4,0.1,57.8,27.9,6.7,6.1,21.6,80.4,7.4,12.6,San Joaquin County,,0.0
6079,"San Luis Obispo County, California",40.2,93398,777200,20.8,0.5,3.0,0.2,75.5,65.4,1.1,2.6,39.2,91.8,5.1,12.8,San Luis Obispo County,,0.0
6081,"San Mateo County, California",40.6,156000,1494500,14.5,0.5,9.6,0.2,75.1,35.8,2.1,2.2,53.1,90.3,4.5,6.5,San Mateo County,,0.0
6083,"Santa Barbara County, California",34.5,95977,735700,42.6,0.4,4.5,0.1,52.4,41.5,1.5,3.6,35.9,82.1,6.1,13.8,Santa Barbara County,,0.0
6085,"Santa Clara County, California",37.9,159674,1382800,20.1,0.4,4.4,0.2,74.9,28.2,2.3,1.9,55.9,89.3,4.5,6.9,Santa Clara County,,0.0
6087,"Santa Cruz County, California",39.6,109266,1015200,30.5,0.4,3.9,0.2,65.0,54.6,0.7,3.0,43.6,88.5,5.6,11.2,Santa Cruz County,,0.0
6089,"Shasta County, California",41.7,71931,347200,8.1,0.5,2.6,0.1,88.7,76.5,0.9,5.1,23.3,92.1,6.2,13.0,Shasta County,,0.0
6091,"Sierra County, California",56.0,60000,334100,8.3,0.0,1.2,0.0,90.4,88.8,0.3,2.6,24.4,91.4,12.2,12.3,Sierra County,Sierra County,1.0
6093,"Siskiyou County, California",47.4,55499,284500,10.2,0.4,2.2,0.3,86.9,74.2,1.6,7.6,23.1,91.1,7.7,16.6,Siskiyou County,Siskiyou County,1.0
6095,"Solano County, California",39.1,99994,589600,21.8,1.0,6.1,0.1,71.0,34.3,12.6,2.8,28.4,88.9,5.9,9.7,Solano County,Solano County,1.0
6097,"Sonoma County, California",42.7,102840,779000,23.7,0.4,5.1,0.2,70.6,59.1,1.5,3.7,37.8,88.9,5.2,8.6,Sonoma County,Sonoma County,2.0
6099,"Stanislaus County, California",34.8,79661,426600,45.4,0.6,3.1,0.1,50.8,37.5,2.7,3.3,19.1,80.1,7.8,13.1,Stanislaus County,Stanislaus County,1.0
6101,"Sutter County, California",36.4,75450,399400,28.9,0.8,2.6,0.0,67.6,42.0,1.6,4.3,20.2,78.8,7.0,14.8,Sutter County,,0.0
6103,"Tehama County, California",40.1,61834,315600,25.2,0.6,2.3,0.0,71.8,62.9,0.8,5.0,18.8,86.3,6.7,15.4,Tehama County,,0.0
6105,"Trinity County, California",54.8,53498,329000,2.6,0.0,3.3,0.0,94.1,79.3,0.9,5.6,18.0,94.8,5.9,18.0,Trinity County,,0.0
6107,"Tulare County, California",31.9,69489,303000,62.1,0.3,3.5,0.2,33.9,26.3,1.3,3.3,15.8,74.4,8.8,17.8,Tulare County,,0.0
6109,"Tuolumne County, California",48.8,72259,406200,8.4,0.8,4.0,0.0,86.8,78.6,1.6,4.4,23.9,93.5,7.9,10.7,Tuolumne County,Tuolumne County,3.0
6111,"Ventura County, California",39.4,107327,768400,38.2,0.5,4.8,0.3,56.2,42.9,1.7,3.3,35.7,85.3,5.5,9.0,Ventura County,Ventura County,3.0
6113,"Yolo County, California",32.3,88818,593800,28.4,0.3,4.4,0.1,66.8,43.0,2.5,2.8,44.1,88.4,5.3,16.3,Yolo County,,0.0
6115,"Yuba County, California",33.9,73313,380000,25.7,1.0,3.1,0.2,70.0,50.7,3.5,5.7,17.9,84.7,7.3,15.3,Yuba County,,0.0
